complaint_text,location,timestamp,population_density
Garbage truck not covering inner lanes,Adarsh Nagar,2025-08-17 12:36:41,30000
Garbage overflowing near main chowk,Dwarka Sector 3,2025-08-18 08:12:21,18500
Missed waste pickup for 2 days,Dwarka Sector 3,2025-08-18 18:45:10,18500
Foul smell from roadside garbage heap,Dwarka Sector 3,2025-08-19 09:21:33,18500
Uncollected trash near apartment complex,Rohini Sector 7,2025-08-18 07:44:55,22300
Overflowing community dustbin,Rohini Sector 7,2025-08-19 14:18:27,22300
Garbage scattered after rainfall,Rohini Sector 7,2025-08-20 10:05:41,22300
Missed pickup reported by residents,Laxmi Nagar,2025-08-18 11:25:18,29500
Waste pile attracting stray animals,Laxmi Nagar,2025-08-19 16:33:44,29500
Overflowing bin near metro gate,Laxmi Nagar,2025-08-20 09:42:37,29500
Garbage truck not covering back lanes,Janakpuri West,2025-08-18 08:55:21,21000
Rotten waste lying unattended,Janakpuri West,2025-08-19 17:29:14,21000
Community bin broken and overflowing,Janakpuri West,2025-08-20 13:18:09,21000
Uncollected garbage near school,Sangam Vihar,2025-08-18 07:12:44,31000
Waste accumulation blocking drain,Sangam Vihar,2025-08-19 12:41:22,31000
Overflowing trash container,Sangam Vihar,2025-08-20 18:05:55,31000
Garbage scattered near market road,Karol Bagh,2025-08-18 09:34:12,27000
Missed municipal pickup again,Karol Bagh,2025-08-19 15:22:31,27000
Foul odor from waste pile,Karol Bagh,2025-08-20 19:11:45,27000
Overflowing garbage near park gate,Mayur Vihar Phase 1,2025-08-18 10:15:29,24000
Trash not collected for 3 days,Mayur Vihar Phase 1,2025-08-19 14:55:17,24000
Waste dumped outside dustbin,Mayur Vihar Phase 1,2025-08-20 08:44:52,24000
Garbage pile near heritage building,Chandni Chowk,2025-08-18 11:09:33,33000
Uncollected wet waste,Chandni Chowk,2025-08-19 16:48:22,33000
Overflowing trash attracting flies,Chandni Chowk,2025-08-20 09:32:11,33000
Missed waste pickup in inner block,Okhla Phase 2,2025-08-18 07:18:56,26000
Garbage heap near industrial area,Okhla Phase 2,2025-08-19 13:22:44,26000
Waste burning reported,Okhla Phase 2,2025-08-20 17:41:09,26000
Overflowing garbage bin near mall,Saket,2025-08-18 09:44:28,19500
Uncollected dry waste,Saket,2025-08-19 15:37:52,19500
Garbage truck skipped route,Saket,2025-08-20 08:29:14,19500
Trash blocking residential gate,Preet Vihar,2025-08-18 10:08:16,25000
Overflowing bin in busy lane,Preet Vihar,2025-08-19 18:05:39,25000
Waste not cleared after rain,Preet Vihar,2025-08-20 14:12:41,25000
Garbage dumped near metro pillar,Uttam Nagar,2025-08-18 07:51:23,30000
Missed pickup for entire street,Uttam Nagar,2025-08-19 12:33:55,30000
Overflowing waste container,Uttam Nagar,2025-08-20 19:05:17,30000
Garbage heap near clinic,Patel Nagar,2025-08-18 08:36:49,27500
Trash scattered across road,Patel Nagar,2025-08-19 14:48:33,27500
Uncollected waste attracting mosquitoes,Patel Nagar,2025-08-20 17:59:22,27500
Missed waste collection,Shalimar Bagh,2025-08-18 09:11:07,20500
Overflowing community dustbin,Shalimar Bagh,2025-08-19 16:28:44,20500
Garbage blocking park entrance,Shalimar Bagh,2025-08-20 08:17:55,20500
Unattended waste near drainage,Seelampur,2025-08-18 07:33:42,32000
Missed garbage pickup,Seelampur,2025-08-19 13:19:27,32000
Overflowing trash near market,Seelampur,2025-08-20 18:41:30,32000
Garbage heap near temple,Malviya Nagar,2025-08-18 08:44:10,21500
Uncollected waste pile,Malviya Nagar,2025-08-19 15:55:12,21500
Overflowing bin in colony,Malviya Nagar,2025-08-20 19:22:43,21500
Trash not cleared after event,Connaught Place,2025-08-18 10:15:51,34000
Garbage scattered in commercial lane,Connaught Place,2025-08-19 14:44:29,34000
Overflowing waste container,Connaught Place,2025-08-20 18:33:12,34000
Missed waste pickup for 2 days,Trilokpuri,2025-08-18 07:22:14,29000
Garbage accumulation near bus stop,Trilokpuri,2025-08-19 13:40:58,29000
Overflowing trash in residential block,Trilokpuri,2025-08-20 17:58:21,29000
Uncollected garbage near society gate,Pitampura,2025-08-18 09:17:44,20000
Waste heap blocking entrance,Pitampura,2025-08-19 15:08:26,20000
Overflowing dustbin,Pitampura,2025-08-20 19:40:33,20000
Garbage pile near main road,Shahdara,2025-08-18 08:26:55,28500
Missed municipal collection,Shahdara,2025-08-19 14:35:17,28500
Overflowing waste near market,Shahdara,2025-08-20 18:22:09,28500
Uncollected garbage near apartments,Kirti Nagar,2025-08-18 09:45:12,23000
Trash scattered in lane,Kirti Nagar,2025-08-19 15:28:47,23000
Overflowing community bin,Kirti Nagar,2025-08-20 17:51:19,23000
Garbage dumped near shopping area,Green Park,2025-08-18 10:12:22,19000
Missed pickup since weekend,Green Park,2025-08-19 16:09:38,19000
Overflowing dustbin near metro,Green Park,2025-08-20 18:30:54,19000
Waste not collected in block C,Model Town,2025-08-18 08:18:14,21000
Garbage accumulation near school,Model Town,2025-08-19 13:44:21,21000
Overflowing trash container,Model Town,2025-08-20 17:25:39,21000
Missed waste pickup again,Najafgarh,2025-08-18 07:40:33,17500
Garbage heap near rural market,Najafgarh,2025-08-19 12:58:46,17500
Overflowing bin near bus stand,Najafgarh,2025-08-20 18:10:22,17500
Uncollected waste near metro exit,Rajouri Garden,2025-08-18 09:30:44,26000
Garbage scattered across street,Rajouri Garden,2025-08-19 15:17:11,26000
Overflowing dustbin in block A,Rajouri Garden,2025-08-20 19:08:55,26000
Garbage heap near vacant plot,Burari,2025-08-18 08:05:19,22000
Missed waste collection for 3 days,Burari,2025-08-19 13:49:27,22000
Overflowing community trash bin,Burari,2025-08-20 18:42:31,22000
Uncollected waste near temple,Kalkaji,2025-08-18 09:55:41,24500
Garbage scattered near apartments,Kalkaji,2025-08-19 16:15:28,24500
Overflowing trash near market,Kalkaji,2025-08-20 19:37:44,24500
Garbage not lifted in industrial block,Bawana,2025-08-18 07:33:17,18000
Waste pile attracting flies,Bawana,2025-08-19 12:44:55,18000
Overflowing dustbin near factory area,Bawana,2025-08-20 18:05:33,18000
Missed pickup near society gate,Vasant Kunj,2025-08-18 08:28:46,20000
Garbage heap near mall road,Vasant Kunj,2025-08-19 15:11:22,20000
Overflowing community bin,Vasant Kunj,2025-08-20 19:20:58,20000
Uncollected waste near park,Adarsh Nagar,2025-08-18 09:07:39,30000
Garbage accumulation blocking drain,Adarsh Nagar,2025-08-19 14:52:18,30000
Overflowing trash container in colony,Adarsh Nagar,2025-08-20 18:44:12,30000
